Municipio,Estacion,Fecha,Diametro aerodinamico,Medicion
Santa Rosa de Cabal,Centro Urbano,05/28/2009 12:00:00 AM,PM10,37.02
Santa Rosa de Cabal,Centro Urbano,05/29/2009 12:00:00 AM,PM10,37.71
Santa Rosa de Cabal,Centro Urbano,05/30/2009 12:00:00 AM,PM10,33.81
Santa Rosa de Cabal,Centro Urbano,05/31/2009 12:00:00 AM,PM10,38.91
Santa Rosa de Cabal,Centro Urbano,06/01/2009 12:00:00 AM,PM10,24.79
Santa Rosa de Cabal,Centro Urbano,06/02/2009 12:00:00 AM,PM10,24.2
Santa Rosa de Cabal,Centro Urbano,06/03/2009 12:00:00 AM,PM10,34.41
Santa Rosa de Cabal,Centro Urbano,06/04/2009 12:00:00 AM,PM10,34.79
Santa Rosa de Cabal,Centro Urbano,06/05/2009 12:00:00 AM,PM10,16.67
Santa Rosa de Cabal,Centro Urbano,06/06/2009 12:00:00 AM,PM10,30.23
Santa Rosa de Cabal,Centro Urbano,06/07/2009 12:00:00 AM,PM10,20.45
Santa Rosa de Cabal,Centro Urbano,06/08/2009 12:00:00 AM,PM10,22.78
Santa Rosa de Cabal,Centro Urbano,06/09/2009 12:00:00 AM,PM10,29.07
Santa Rosa de Cabal,Centro Urbano,06/10/2009 12:00:00 AM,PM10,40.72
Santa Rosa de Cabal,Centro Urbano,06/11/2009 12:00:00 AM,PM10,44.6
Santa Rosa de Cabal,Centro Urbano,06/12/2009 12:00:00 AM,PM10,50.06
Santa Rosa de Cabal,Centro Urbano,06/13/2009 12:00:00 AM,PM10,36.73
Santa Rosa de Cabal,Centro Urbano,06/14/2009 12:00:00 AM,PM10,40.76
Santa Rosa de Cabal,Centro Urbano,06/15/2009 12:00:00 AM,PM10,39.71
Santa Rosa de Cabal,Centro Urbano,06/16/2009 12:00:00 AM,PM10,43.48
Santa Rosa de Cabal,Centro Urbano,06/17/2009 12:00:00 AM,PM10,46.9
Santa Rosa de Cabal,Centro Urbano,06/18/2009 12:00:00 AM,PM10,53.77
Santa Rosa de Cabal,Centro Urbano,06/19/2009 12:00:00 AM,PM10,51.84
Santa Rosa de Cabal,Centro Urbano,06/20/2009 12:00:00 AM,PM10,55.5
Santa Rosa de Cabal,Centro Urbano,01/02/2010 12:00:00 AM,PM10,31.13
Santa Rosa de Cabal,Centro Urbano,01/03/2010 12:00:00 AM,PM10,18.99
Santa Rosa de Cabal,Centro Urbano,01/04/2010 12:00:00 AM,PM10,16.67
Santa Rosa de Cabal,Centro Urbano,01/05/2010 12:00:00 AM,PM10,16.9
Santa Rosa de Cabal,Centro Urbano,01/06/2010 12:00:00 AM,PM10,28.78
Santa Rosa de Cabal,Centro Urbano,01/07/2010 12:00:00 AM,PM10,19.12
Santa Rosa de Cabal,Centro Urbano,01/08/2010 12:00:00 AM,PM10,24.37
Santa Rosa de Cabal,Centro Urbano,01/09/2010 12:00:00 AM,PM10,20.67
Santa Rosa de Cabal,Centro Urbano,01/10/2010 12:00:00 AM,PM10,21.36
Santa Rosa de Cabal,Centro Urbano,01/11/2010 12:00:00 AM,PM10,21.47
Santa Rosa de Cabal,Centro Urbano,01/12/2010 12:00:00 AM,PM10,18.44
Santa Rosa de Cabal,Centro Urbano,01/13/2010 12:00:00 AM,PM10,28.07
Santa Rosa de Cabal,Centro Urbano,01/14/2010 12:00:00 AM,PM10,41.71
Santa Rosa de Cabal,Centro Urbano,01/15/2010 12:00:00 AM,PM10,15.03
